CustomerID,TransactionID,Qty,TotalAmount,cluster
2,13,57,392300,2
3,15,56,446200,2
6,10,44,459100,2
9,10,44,349200,2
14,12,35,398500,2
15,12,44,406800,2
16,13,50,375600,2
17,11,41,356600,2
18,14,44,455900,2
22,12,43,404500,2
24,13,42,377000,2
27,10,32,328400,2
28,10,34,328600,2
29,15,63,448900,2
30,10,40,319800,2
31,12,36,355800,2
32,10,35,360400,2
39,13,51,422400,2
42,13,38,420400,2
48,10,45,342200,2
49,10,35,328800,2
51,11,45,439600,2
52,7,37,321400,2
53,15,43,336000,2
54,13,40,393500,2
57,11,40,405300,2
58,11,41,384500,2
60,11,37,408600,2
62,14,52,442200,2
66,10,41,423000,2
67,14,57,442600,2
69,10,44,352400,2
70,10,38,323600,2
75,11,37,356000,2
76,14,51,462700,2
77,13,40,403600,2
80,7,31,319200,2
81,8,32,329300,2
82,10,32,386300,2
83,11,49,383800,2
85,14,49,421200,2
86,13,41,319600,2
87,11,41,394400,2
90,10,38,367800,2
92,15,53,365000,2
93,14,43,390700,2
95,12,43,410200,2
96,12,44,355100,2
97,14,36,329500,2
98,9,34,362500,2
99,9,33,316400,2
101,14,44,439600,2
102,15,57,423300,2
103,11,31,318200,2
108,15,54,398400,2
116,11,39,383800,2
118,14,46,463000,2
119,11,43,380400,2
121,14,52,444000,2
124,12,53,440200,2
129,9,41,387400,2
130,10,36,314400,2
131,12,53,462800,2
132,11,44,438300,2
134,11,36,384600,2
135,14,43,388400,2
137,14,62,443700,2
138,12,44,410300,2
141,13,39,364000,2
142,11,42,364000,2
147,10,42,393700,2
149,12,38,406300,2
151,9,38,351100,2
152,11,50,444200,2
154,11,42,325500,2
155,13,42,425000,2
160,15,46,406200,2
161,10,30,340600,2
162,12,34,317900,2
163,12,34,334000,2
165,12,51,318600,2
168,11,50,370400,2
169,12,43,356000,2
173,9,33,349600,2
174,11,48,437600,2
177,11,47,367200,2
178,13,52,389300,2
186,13,51,354000,2
190,11,36,381900,2
191,9,37,365600,2
195,11,45,387500,2
198,14,51,381400,2
201,12,45,341400,2
203,13,43,414700,2
204,12,40,382400,2
206,12,44,414000,2
209,9,39,343800,2
211,10,40,317800,2
213,12,44,391400,2
214,10,41,334300,2
215,13,46,362300,2
218,14,54,405200,2
221,11,37,361100,2
223,10,35,396600,2
226,8,37,381600,2
228,10,33,329000,2
229,15,48,400700,2
231,15,49,453500,2
232,13,35,335600,2
236,9,33,363800,2
237,13,45,455200,2
239,9,38,411000,2
243,13,37,439400,2
244,10,43,341400,2
246,16,48,450600,2
247,14,45,433800,2
253,8,30,316500,2
254,10,37,316000,2
256,12,45,412800,2
257,11,37,370200,2
267,12,47,378000,2
268,11,35,424400,2
269,13,50,362300,2
273,14,54,392000,2
278,13,48,406900,2
279,10,40,376400,2
280,15,44,405100,2
284,10,47,385200,2
287,9,31,322600,2
288,10,35,340800,2
289,11,41,392800,2
295,11,54,423600,2
298,13,51,395000,2
304,12,33,395600,2
307,10,40,372900,2
308,9,36,340000,2
310,15,58,455200,2
315,11,39,395500,2
317,9,42,366600,2
319,14,57,452600,2
322,13,38,341000,2
327,13,37,355700,2
330,9,42,349400,2
335,11,37,315000,2
336,14,43,407300,2
339,9,45,416200,2
340,12,42,425200,2
341,11,42,405000,2
342,16,54,434900,2
347,16,50,436800,2
350,13,44,346500,2
352,12,46,340800,2
353,11,42,322700,2
355,11,33,329200,2
358,12,36,413100,2
360,13,33,352300,2
361,10,37,349100,2
362,14,45,383600,2
363,12,53,369000,2
364,7,39,382600,2
372,10,33,315200,2
376,12,54,415600,2
378,12,45,379700,2
379,12,49,363000,2
380,13,44,356700,2
391,11,40,375400,2
393,15,53,449600,2
394,11,26,317800,2
401,15,52,402400,2
403,12,46,331400,2
404,16,53,443200,2
408,11,48,452000,2
409,13,44,384100,2
413,11,42,417100,2
414,9,39,440200,2
415,13,41,352400,2
424,11,51,463800,2
429,10,43,354200,2
431,13,40,359900,2
433,11,32,351200,2
435,12,52,425500,2
436,10,41,348400,2
438,14,47,457200,2
440,12,40,395200,2
446,11,42,423300,2
447,13,42,439300,2
